"1","0","Главная страница","main","index","<p>Добро пожаловать в Ronny CMS!</p>","заглавная страница","главная страница page pages to4ka programming team","821","0","1309289076","1406013520"
            <div style=""text-align: center;""><span style=""font-size: 9pt;""><b>Андреянова Наталья Викторовна</b></span></div>
            <div style=""text-align: center;""><img border=""0"" alt="""" style=""font-size: 9pt;"" src=""/files/images/rukovodstvo/nva.JPG"" /></div>
            </td>
            <td style=""text-align: center;"">&nbsp;+7 (4942) 399-420</td>
        </tr>
        <tr>
            <td style=""text-align: center;"">Отдел правового и кадрового обеспечения</td>
            <td>
            <div style=""text-align: center;""><span style=""font-size: 9pt;""><b>Виноградов Константин Алексеевич</b></span></div>
            <div style=""text-align: center;""><img border=""0"" alt="""" style=""font-size: 9pt;"" src=""/files/images/kav.JPG"" /></div>
            </td>
            <td style=""text-align: center;"">&nbsp;+7 (4942) 399-438</td>
        </tr>
    </tbody>
</table>
</p>",,,"21333","0","1310193761","1412753611"
"4","1","Деятельность","activities","full_list",,,"Департамент региональной безопаности Костромской области","1495","0","1310194134","1310457403"
"5","1","Интерактивная карта региона","map","default"," 
<div style=""text-align: center;"">&nbsp;<a target=""_blank"" href=""/files/images/map/adm-map.jpg""><img src=""/files/images/map/adm-map-sm.jpg"" /></a> 
</div> 
<div style=""text-align: center;""><br /> 
</div><b> 
  <div style=""text-align: center;""><b>(нажмите для увеличения)</b> 
  </div></b> <br /> 
<div style=""text-align: center;"">&nbsp;<a target=""_blank"" href=""/files/images/map/karta-gidrologicheskih-postov.jpg""><img width=""100%"" src=""/files/images/map/karta-gidrologicheskih-postov.jpg"" /></a> 
</div> 
<div style=""text-align: center;""><b style=""font-size: 9pt;""> 
    <div style=""display: inline !important;""><b>(нажмите для увеличения)</b> 
    </div></b> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong><br /></strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong><br /></strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong>ТЕЛЕФОН</strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong>оперативного дежурного администрации Костромской области</strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><span style=""color: rgb(255, 0, 0);"">8 (4942) 372-900, 398-373; &nbsp;8-915-917-2000</span> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong><br /></strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""> 
  <div align=""center""><strong>ТЕЛЕФОН</strong> 
  </div> 
  <div align=""center""><strong>оперативного дежурного ОГБУ ""Центр обеспечения мероприятий ГО, ЧС и обработки вызовов ""112""</strong> 
  </div> 
  <div align=""center""><span style=""color: rgb(255, 0, 0);"">8 (4942) 318</span><span style=""color: rgb(255, 0, 0);"">-</span><span style=""color: rgb(255, 0, 0);"">790, 399-407; &nbsp;</span><span style=""color: rgb(255, 0, 0);"">399-408;&nbsp;</span><span style=""color: rgb(255, 0, 0);"">316-713</span> 
  </div> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong><br /></strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong>ТЕЛЕФОН</strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong>диспетчера ОГКУ ""Служба спасения, обеспечения мероприятий ГО и защиты в ЧС""</strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><span style=""color: rgb(255, 0, 0);"">8 (4942) 351-606</span> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong><br /></strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong>ТЕЛЕФОНЫ</strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong>единых дежурно-диспетчерских служб&nbsp;<br />муниципальных образований Костромской области<br /></strong> 
</div> 
<div align=""center"" style=""font-family: Calibri, Arial, sans-serif; font-size: 15px;""><strong><br /></strong> 
</div>
<div style=""text-align: center;"">
  <table border=""1"" cellspacing=""0"" cellpadding=""0"" width=""100%"" style=""width: 100%; border-collapse: collapse; border: none;"" class=""MsoNormalTable""> 
    <tbody>
      <tr> 
        <td valign=""top"" style=""border: 1pt solid rgb(55, 85, 150); background-color: rgb(84, 141, 212); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><b><i><span style=""font-size: 12pt; color: white;"">№ п/п<o:p></o:p></span></i></b></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: solid solid solid none; border-top-color: rgb(55, 85, 150); border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-top-width: 1pt; border-right-width: 1pt; border-bottom-width: 1pt; background-color: rgb(84, 141, 212); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><b><i><span style=""font-size: 12pt; color: white;"">Наименование муниципальных образований<o:p></o:p></span></i></b></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: solid solid solid none; border-top-color: rgb(55, 85, 150); border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-top-width: 1pt; border-right-width: 1pt; border-bottom-width: 1pt; background-color: rgb(84, 141, 212); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><b><i><span style=""font-size: 12pt; color: white;"">Контактные телефоны</span></i></b><span style=""font-size: 12pt; color: white;""> <b><i>диспетчерских служб (круглосуточно)<o:p></o:p></i></b></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">1<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Антроповский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49430) 3-52-03<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">2<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Буйский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">8 (49435) 4 -04-44; 4-01-11 (ф.)<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">3<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Вохомский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49450) 2-11-66<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">4<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Галичский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49437) 2-17-07<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">5<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Кадыйский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49442) 3-40-18; 8-920-648-94-18<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">6<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Кологривский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">8 (49443) 4-26-59, 4-12-16 (ф.)<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">7<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Костромской район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">8 (4942) 35-27-31; 45-32-42 (ф.); 8-930-386-67-70<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">8<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Красносельский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49432) 3-17-16<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">9<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Макарьевский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49445) 5-67-79<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">10<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Мантуровский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49446) 3-04-78<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">11<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Межевской район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49447) 5-24-22<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">12<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">г.Нерехта&nbsp; и Нерехтский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49431) 7-63-44<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">13<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">г.Нея и Нейский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: transparent; padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49444) 3-27-48; 8-915-914-01-12<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
        <td valign=""top"" style=""border-style: none solid solid; border-right-color: rgb(55, 85, 150); border-bottom-color: rgb(55, 85, 150); border-left-color: rgb(55, 85, 150); border-right-width: 1pt; border-bottom-width: 1pt; border-left-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">14<o:p></o:p></span></p> </td> 
        <td width=""38%"" valign=""top"" style=""width: 38.28%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">Октябрьский район<o:p></o:p></span></p> </td> 
        <td width=""55%"" valign=""top"" style=""width: 55.82%; border-style: none solid solid none; border-bottom-color: rgb(55, 85, 150); border-bottom-width: 1pt; border-right-color: rgb(55, 85, 150); border-right-width: 1pt; background-color: rgb(244, 244, 244); padding: 2.25pt; background-position: initial initial; background-repeat: initial initial;""> 
          <p align=""center"" style=""text-align: center;"" class=""ConsPlusNormal""><span style=""font-size: 12pt;"">т.ф. 8 (49451) 2-11-70; 8-910-195-37-77<o:p></o:p></span></p> </td> 
      </tr> 
      <tr> 
